Filename,SGAN_score
Blind_1265470568_08:18:59.19_-22:38:07.44_DM41.98_ACCEL_0:3_1733.54ms_Cand.pfd,0.7715224012433571
Blind_1265470568_08:15:02.77_-33:54:04.62_DM42.34_ACCEL_0:2_1238.11ms_Cand.pfd,0.9901830853091597
Blind_1265470568_09:07:51.42_-17:39:34.27_DM15.74_ACCEL_0:2_401.63ms_Cand.pfd,0.9901830853091597
Blind_1265470568_08:17:19.90_-22:24:01.42_DM40.06_ACCEL_0:2_1238.20ms_Cand.pfd,0.9689877191978008
Blind_1265470568_08:37:00.96_-35:34:11.39_DM67.61_ACCEL_0:2_89.41ms_Cand.pfd,0.010943397077938908
Blind_1265470568_08:16:54.29_-33:39:50.29_DM45.52_ACCEL_0:2_2478.01ms_Cand.pfd,0.034486205759565326
Blind_1265470568_08:55:31.50_-29:11:24.49_DM41.02_ACCEL_0:3_353.77ms_Cand.pfd,0.2484007577835521
Blind_1265470568_08:18:07.38_-24:30:40.86_DM44.26_ACCEL_0:3_1238.03ms_Cand.pfd,0.9901830853091597
Blind_1265470568_08:13:11.15_-34:08:19.84_DM42.10_ACCEL_0:2_1238.11ms_Cand.pfd,0.9655934023848518
Blind_1265470568_08:18:47.10_-23:06:18.09_DM40.84_ACCEL_0:4_371.45ms_Cand.pfd,0.03824573885400362
Blind_1265470568_08:17:33.22_-33:25:36.80_DM73.88_ACCEL_0:2_166.78ms_Cand.pfd,0.9901830853091597
Blind_1265470568_08:55:33.69_-33:39:50.29_DM86.97_ACCEL_0:2_1267.54ms_Cand.pfd,0.9901830853091597
Blind_1265470568_08:16:04.04_-31:18:08.52_DM40.78_ACCEL_0:2_1238.20ms_Cand.pfd,0.9901830853091597
Blind_1265470568_08:56:12.62_-33:25:36.80_DM86.64_ACCEL_0:2_1267.54ms_Cand.pfd,0.9901830853091597
Blind_1265470568_08:57:22.59_-28:29:15.98_DM41.92_ACCEL_0:2_1238.20ms_Cand.pfd,0.9901830853091597
Blind_1265470568_08:16:09.82_-22:24:01.42_DM42.16_ACCEL_0:3_1238.20ms_Cand.pfd,0.91597247217615
Blind_1265470568_08:55:00.14_-33:25:36.80_DM86.75_ACCEL_0:2_1267.54ms_Cand.pfd,0.9901830853091597
Blind_1265470568_08:14:56.85_-34:22:35.96_DM37.24_ACCEL_0:2_1238.20ms_Cand.pfd,0.9901830853091597
Blind_1265470568_08:51:58.74_-27:19:05.45_DM40.48_ACCEL_0:2_1238.20ms_Cand.pfd,0.9901830853091597
Blind_1265470568_08:49:44.83_-23:48:30.98_DM47.98_ACCEL_0:4_111.89ms_Cand.pfd,0.010943397077938908
Blind_1265470568_08:15:47.08_-33:11:24.13_DM73.66_ACCEL_0:2_166.78ms_Cand.pfd,0.9689877191978008
Blind_1265470568_08:16:20.74_-33:25:36.80_DM40.42_ACCEL_0:2_1238.11ms_Cand.pfd,0.9901830853091597
Blind_1265470568_08:18:21.21_-24:02:34.57_DM39.58_ACCEL_0:2_1238.11ms_Cand.pfd,0.9655934023848518
